text,ASSORTMENT,PROMOTIONS,DELIVERY,PRICE,PRODUCTS_QUALITY,SUPPORT,CATALOG_NAVIGATION,PAYMENT
"Маленький выбор товаров, хотелось бы ассортимент больше, а так вроде бы все хорошо",1,1,0,0,0,0,0,0
Быстро,0,0,1,0,1,0,0,0
Доставка постоянно задерживается,1,0,1,0,0,1,0,0
Наценка и ассортимент расстраивают,1,0,0,1,0,0,0,0
"Можно немного скинуть минимальную сумму заказа или оплачивать доставку ,если сумма меньше,как в Яндекс маркете",0,0,1,1,0,1,0,1
"Очень долгая доставка, по факту обещают привезти за [NUM] минут, но все время опаздывают . Так же бы хотелось чуть более удобный поиск в приложении",1,0,1,0,0,0,1,0
В каждом заказе встречаются товары не подлежащего качества,0,1,0,1,1,0,0,0
Постоянно задерживается доставка!!! Цены выше. Больше не буду делать заказ,1,0,1,1,0,0,1,0
Отличное приложение спасибо большое за доставку благодарю вас,1,1,1,1,0,1,1,1
Долго,0,0,1,0,0,0,0,0
Доставка крайне редко приезжает в срок,0,0,1,0,0,0,0,0
"Цены на некоторые позиции взлетели не оправданно, на некоторые ценник выше магазинного на [NUM]% -спекуляция чистой воды. Все реже и реже пользуюсь сервисом и скорее всего перестану использовать совсем. Будете и дальше терять клиентов из-за ценовой политики",1,1,1,1,1,1,1,0
"Я настолько разочарована,что даже слов нет!Заказала черешню по скидке,но её невозможно есть так как она вся испорченная,просто позор вам,совести у вас нет!Как можно так относиться к своим покупателям?!",0,1,0,0,1,0,0,0
"Страдает доставка, очень долго, хотя пишите [NUM] мин., а везёте [NUM]-[NUM] мин.",0,0,1,0,0,1,0,0
Очень очень очень долгая доставка. [NUM] заказов подряд не привозили вовремя,0,0,1,0,0,1,0,0
"Удобно, быстро",0,1,0,1,0,0,0,0
Расширить ассортимент товаров,1,1,0,1,1,0,0,0
"В смысле ""убрали из заказа""? Я весь заказ ради этих морепродуктов делал!",1,0,0,0,0,0,0,0
"Доставка регулярно дольше, чем указано, курьера на карте не видно, служба поддержки не отвечает по заказу часами.",1,0,1,0,0,1,0,0
Дорого,1,0,0,1,0,0,0,0
…,1,1,1,1,1,0,0,0
Программу надо улучшить,0,0,0,0,0,1,0,1
"Заказ на сумму от [NUM]? это дорого, было бы лучше как было раньше [NUM]?",0,0,0,0,0,0,0,1
Часто стали приезжать просроченные и некачественные продукты,1,1,0,1,1,0,0,0
Раньше доставка была в течение [NUM] мин сейчас стала больше и все время меняется время ожидания .,0,0,1,0,0,0,0,0
Не следите за качеством продуктов,0,0,1,0,1,1,0,0
"Если по скидкам и акциям продукты ещё и выходят в нормальной цене, то без них иногда стоят космически. Но самое большое расстройство - это доставка. Проще назвать, сколько раз за год мне доставили в срок [NUM] минут, чем посчитать, сколько раз опаздывали.",1,0,1,1,0,0,0,0
Быстро,0,1,0,1,0,0,1,0
"Поддержка по телефону перестала вообще что-либо решать - по всем вопросам посылают в телеграмм. В телеграмме не отвечают уже третий день - сначала пишут что надо [NUM]-[NUM] минут, но никто и за час не подходит - потом это откладывают, потом опять бот и так до б",1,0,0,0,1,1,0,0
"Доставка стала дольше, это огорчает(",1,1,1,1,1,0,0,0
Привезли размороженную пюреобразную ягоду,0,0,0,0,1,0,0,0
Слишком долгая доставка,0,0,1,0,0,0,0,0
Спасибо!,1,1,0,1,0,0,0,0
Хотелось бы что бы все напитки были охлажденными. А вы привозите теплыми,0,0,0,0,1,0,0,0
"Почти всегда заказы опаздывают. Когда звонишь операторам и спрашиваешь почему указано [NUM] минут, а по факту может курьер задержаться на полтора часа, специалисты тыкают в какой-то договор где что-то там прописано написано. Ставьте реальное время доставки",0,0,1,0,0,0,0,0
"Курьеры как рабы работают у вас , почему их так мало .Ждёшь заказ по часу . Почему их так мало на смене!!!!!!!!!",1,1,1,1,1,1,1,1
"Очень быстрая доставка. Маленький выбор, достаточно высокие цены",1,1,0,1,0,0,1,0
"Нет никакой системы лояльности к постоянным клиентам. Ответы в чате - шаблонами. Привозят испорченные продукты и просто возвращают деньги после жалобы, даже никакого промокода в качестве извинений.",0,1,0,0,1,1,0,0
"Доставка очень длительная, пришлось долго ждать",0,0,1,0,0,0,0,0
"Я думаю о вас хорошо, раньше было лучше. Есть ощущение то что стало дороже, а качество хуже - это касается зелени.",0,1,0,1,1,0,0,0
Хороший сервис,1,1,0,1,0,0,0,0
Оочень долгая доставка! Жду уже более [NUM] минут,0,0,1,0,0,0,0,0
"Доставка стала очень долгой - бывает и по полчаса везут. Поднятие цен на доставку тоже не радует. [NUM]-[NUM] ещё нормально, но бывает и [NUM]!!!",0,0,1,0,1,1,0,0
"Стоимость сильно выше, картинки не соответствую ассортименту.",1,1,0,1,0,0,0,0
"Очень долгая доставка, написано до [NUM] минут, или что курьер будет вот вот у вас, а по итогу доставка в среднем [NUM]-[NUM] минут",1,0,1,1,1,0,0,0
"очень долгая доставка. не смотря на то, что мы находимся возле склада самоката",0,0,1,0,0,0,0,0
"Очень часто виснет приложение , задерживаются доставки , высокие цены на определенные продукты",1,0,1,0,1,0,0,0
Молодцы,0,0,1,0,1,0,0,0
"Присылаете молочные изделия за день до истечения срока годности, доставка стала нереально долгой, да при этом еще и постоянно огромный спрос",0,0,1,0,1,1,0,0
"Продукты практически всегда с почти истёкшим сроком годности . И тут как повезёт , иногда продукт ещё можно употреблять а иногда просто в мусорки испорченные продукты . Пока не откроешь пачку , заметить запах продукта по внешнему виду невозможно",0,0,0,0,1,0,0,0
