text,ASSORTMENT,PROMOTIONS,DELIVERY,PRICE,PRODUCTS_QUALITY,SUPPORT,CATALOG_NAVIGATION,PAYMENT
"Маленький выбор товаров, хотелось бы ассортимент больше, а так вроде бы все хорошо",1,0,0,0,0,0,0,0
Быстро,0,0,1,0,0,0,0,0
Доставка постоянно задерживается,0,0,1,0,0,0,0,0
Наценка и ассортимент расстраивают,1,0,0,1,0,0,0,0
"Можно немного скинуть минимальную сумму заказа или оплачивать доставку ,если сумма меньше,как в Яндекс маркете",0,0,1,1,0,0,0,1
"Очень долгая доставка, по факту обещают привезти за [NUM] минут, но все время опаздывают . Так же бы хотелось чуть более удобный поиск в приложении",0,0,1,0,0,0,1,0
В каждом заказе встречаются товары не подлежащего качества,0,0,0,0,1,0,0,0
Постоянно задерживается доставка!!! Цены выше. Больше не буду делать заказ,0,0,1,1,0,0,0,0
Отличное приложение спасибо большое за доставку благодарю вас,0,0,0,0,0,0,0,0
Долго,0,0,1,0,0,0,0,0
Доставка крайне редко приезжает в срок,0,0,1,0,0,0,0,0
"Цены на некоторые позиции взлетели не оправданно, на некоторые ценник выше магазинного на [NUM]% -спекуляция чистой воды. Все реже и реже пользуюсь сервисом и скорее всего перестану использовать совсем. Будете и дальше терять клиентов из-за ценовой политики",0,0,0,1,0,0,0,0
"Я настолько разочарована,что даже слов нет!Заказала черешню по скидке,но её невозможно есть так как она вся испорченная,просто позор вам,совести у вас нет!Как можно так относиться к своим покупателям?!",0,1,0,0,1,0,0,0
"Страдает доставка, очень долго, хотя пишите [NUM] мин., а везёте [NUM]-[NUM] мин.",0,0,1,0,0,0,0,0
Очень очень очень долгая доставка. [NUM] заказов подряд не привозили вовремя,0,0,1,0,0,0,0,0
"Удобно, быстро",0,0,1,0,0,0,0,0
Расширить ассортимент товаров,1,0,0,0,0,0,0,0
"В смысле ""убрали из заказа""? Я весь заказ ради этих морепродуктов делал!",1,0,0,0,0,0,0,0
"Доставка регулярно дольше, чем указано, курьера на карте не видно, служба поддержки не отвечает по заказу часами.",0,0,1,0,0,1,0,0
Дорого,0,0,0,1,0,0,0,0
…,0,0,0,0,0,0,0,0
